tweet_id,text,task1
1123757263427186690,"hate wen females hit ah nigga with tht bro 😂😂, I’m tryna make u my la sweety , fuck ah bro",HOF
1123733301397733380,RT @airjunebug: When you're from the Bay but you're really a NY nigga at heart. W/ @supportcaleon https://t.co/mZ8BAYlnlf,HOF
1123734094108659712,"RT @DonaldJTrumpJr: Dear Democrats: The American people aren’t stupid, they know what spying is and no amount of gaslighting will change th…",NOT
1126951188170199049,RT @SheLoveTimothy: He ain’t on drugs he just bored. I be doing the same shit when I’m bored 😂 https://t.co/tkdjSbddET,HOF
1126863510447710208,"RT @TavianJordan: Summer ‘19 I’m coming for you ! No boring shit ! Beach days, road trips, kickbacks and HOT DAYS ! I’m ready I’m ready I’m…",NOT
1123631027455393792,@HermesCxbin turn that shit off,HOF
1130184942066065408,RT @spaceboykenny: i know fuck bout cel shading so have some horny instead https://t.co/ciPIEN8ZJa,HOF
1130232518056108032,Polo Ts the only other ones but that’s if you feeeling fly fly like bitch don’t touch me.,HOF
1123675222836744192,I fucking love life !!!,HOF
1130306320991707136,@Nig_BMT ‘In the newspaper ‘ I weak😂😂😂. Bro this ending has pissed me off😭,NOT
1123800523499552768,"Nobody:
Angie: U getting dick ? Cus ur ass looks bigger",HOF
1126830115424542720,"RT @tedlieu: Oh look, @realDonaldTrump is now sending Rudy Giuliani to actively seek the assistance of a foreign government to help Trump i…",NOT
1123589327718686720,"RT @tikkkii: bitches in real life be bird as fuck and only good for sex, I’m sick",HOF
1126821370292256770,@thekoyostore @Rainbow6Game hnnnng I need,NOT
1123642087835144192,"It was obvious from the very beginning he always regarded himself as a maverick, which the PM’s letter also suggest… https://t.co/RIVYzNePq1",NOT
1130180122781331456,Get surgical with that shit 💉 https://t.co/5u8Di1waFC,HOF
1126838638241828864,I really don’t want to start my weekend off this way - yet here I am. This vile post should be labeled a lie-… https://t.co/RFYSuDDb1b,NOT
1123694369859567622,SUCH A FUCKING BEAST HONESTLY👀🐐🐐🐐,HOF
1123777438054584320,@StrangeMentle DELTARUNES TRACKS IS FUCKING BANGERS ALL OF EM,HOF
1123617043654246403,RT @NataliaNoyes: might fuck around and go missing for a few months,HOF
1130320959146057728,"RT @melissafumeros: i mean honestly i’ve seen a lot of dumb shit on twitter but this one really is THE dumbest so congrats emily, ur stupid…",HOF
1126970028983824385,RT @KeithOlbermann: NYC FOUND DOG ALERT: he’s still missing and he’s still at the 28th. Somebody’s missing him. PLEASE RT. https://t.co/8GO…,NOT
1130165237200687104,@AEWrestling Have you booked hangman vs orange Cassidy yet?,NOT
1126855704877445121,@viddywel2 Think you're funny,NOT
1130241900697587712,"RT @zipamoney: Holy shit I get the best fucking subs. 
They have Louis Vuitton bags, they’re medical students, they’re lawyers and nurses,…",HOF
1126948365437214720,@brewer383 @d_heard00 @daishatatianna I DONT NEED YOURE WHOLE LIFE STORY WHEN YOUR SHIT IS ON PUBLIC RECORD 😂😂😂 have a look yourself,HOF
1123744454043680772,"RT @TyousB: Drug dealer: I got that 3.5 for $25
Me: i don’t smoke
Drug dealer : I got edibles and I know yo fat ass eat 
Me: https://t.co/8…",HOF
1123656193317142532,@LFC @ChristianSymoh You're losing fam,NOT
1123782588668239874,"RT @INCMP: LIVE: Congress President Rahul Gandhi addresses public meeting in Hoshangabad, Madhya Pradesh. #AbHogaNyay https://t.co/Ag29ucRH…",NOT
1123679836608835586,"RT @realmenswallow1: HHHOOTTTTT 25 min #raw 6-way fuck fest w Atlas Grant, Avatar Akyia, Ryan Powers &amp; TheKnights 🐷🐷! See this and more @…",HOF
1126944175327522816,RT @LilHeli_: Watch my son come out looking just like his damn daddy 😩,HOF
1130191799727853568,"RT @sid_lambert: On Andrea Pirlo’s 40th birthday a reminder of the time he had nobody to pass to, so just decided to ping the bastard himse…",HOF
1130303099783008256,RT @MrDane1982: I've said on election you're voring for two different Americas. Everything was on ballot and that wasn't enough. Your self…,NOT
1126929713371406336,RT @HindusinUK: #Gujarati #Hindu #india #parents #mother #father #mum #dad #truth #love #compassion #child #son #daughter #sanskaras #Maa #…,NOT
1126907613545811968,"RT @MohanAjTweet: ஒரே ஒரு Family Entertainer Movie தான் By 
- சிவா சார் 😍🙏

Total Record Uhm Close 😉💪

Record Breaking #விஸ்வாசம் 😎🔥 https:…",NOT
1130303481447763968,When i found out Bran was going to be king,NOT
1130186259052163072,@kaymu12 Damn are you serious!!!!! I just followed you this morning. I left mine at the gym earlier today and now I… https://t.co/bvIv0TiABT,NOT
1130094009534296064,fuck charmander https://t.co/dZEwAMW8Tj,HOF
1130076351518642176,That’s why some boys fake relationship to fuck.,HOF
1130045926029049857,RT @winsome3005: There comes a point where you no longer care if there’s a light at the end of the tunnel or not. You’re just sick of the t…,HOF
1123712195626512384,"RT @hondadeal4vets: U ask do I really give a fuck well here it is in this doink chat , I would not sleep on this https://t.co/UNO6P4h7GW",HOF
1126939905530187776,"that new snap filter rlly showed me id FUCK up the game if i was a chick

ima whole ass bad bitch wow",HOF
1126769344149483520,RT @blktoppa: Look at that ass!! https://t.co/KfjthiCTeS,HOF
1130312562124267520,@Boogie2988 I’m assuming you are talking about GOT but I don’t watch that show so I have no idea what you’re talking about.,HOF
1126742227978375169,"RT @honeyjamnamjoon: if #BTSWORLD thinks I’m going to pick up calls at 2AM like I did for mystic messenger, you’re damn right. https://t.co…",HOF
1123803388188266497,@Rushh801 shit thats all that matters. and you was never big so lets cut it.,NOT
